sprint_id,data_inicio,data_fim,qtd_membros,duracao_dias,cartoes_previstos,cartoes_entregues,story_points_previstos,story_points_entregues,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
Sprint_34,2026-06-22,2026-07-09,4,17,47,39,544,392,API,2.9,0.22,0.12,64.71,136.0
Sprint_35,2026-07-10,2026-07-27,7,17,46,33,1190,1177,Web,2.1,0.07,0.18,41.7,170.0
Sprint_36,2026-07-28,2026-08-11,7,14,39,38,490,352,Mobile,2.3,0.14,0.19,56.31,70.0
Sprint_37,2026-08-12,2026-08-29,6,17,44,35,510,403,Web,2.8,0.21,0.13,66.93,85.0
Sprint_38,2026-08-30,2026-09-20,5,21,29,22,1050,932,Dados,3.9,0.09,0.22,52.97,210.0
Sprint_39,2026-09-21,2026-10-08,4,17,38,28,476,350,Web,3.9,0.25,0.12,41.61,119.0
Sprint_40,2026-10-09,2026-10-23,5,14,37,27,630,480,API,2.7,0.25,0.17,39.97,126.0
Sprint_41,2026-10-24,2026-11-08,7,15,28,27,945,706,Mobile,3.2,0.11,0.1,38.82,135.0
Sprint_42,2026-11-09,2026-11-21,7,12,21,16,756,594,Mobile,2.0,0.24,0.17,42.51,108.0
Sprint_43,2026-11-22,2026-12-02,3,10,44,40,180,179,Dados,1.5,0.19,0.09,35.34,60.0
Sprint_44,2026-12-03,2026-12-18,4,15,39,30,540,518,Mobile,3.6,0.24,0.21,63.48,135.0
Sprint_45,2026-12-19,2027-01-02,4,14,37,30,504,368,Web,2.3,0.12,0.1,45.9,126.0
Sprint_46,2027-01-03,2027-01-14,7,11,42,35,462,347,API,2.7,0.06,0.15,62.66,66.0
Sprint_47,2027-01-15,2027-02-05,3,21,26,21,441,329,Web,2.1,0.18,0.11,68.52,147.0
Sprint_48,2027-02-06,2027-02-16,4,10,24,21,280,266,Web,2.9,0.25,0.17,39.09,70.0
Sprint_49,2027-02-17,2027-02-27,3,10,37,30,210,207,Dados,3.9,0.22,0.21,32.85,70.0
Sprint_50,2027-02-28,2027-03-13,5,13,46,44,585,441,Web,2.2,0.14,0.13,59.63,117.0
Sprint_51,2027-03-14,2027-03-27,7,13,45,35,637,448,Dados,4.4,0.28,0.22,57.32,91.0
Sprint_52,2027-03-28,2027-04-16,5,19,41,37,950,828,Mobile,3.2,0.12,0.13,50.86,190.0
Sprint_53,2027-04-17,2027-04-29,3,12,36,27,288,275,Dados,4.5,0.14,0.13,56.13,96.0
Sprint_54,2027-04-30,2027-05-12,3,12,46,41,324,260,Mobile,2.2,0.18,0.08,56.57,108.0
Sprint_55,2027-05-13,2027-05-25,3,12,35,27,324,229,Dados,2.4,0.13,0.19,66.5,108.0
Sprint_56,2027-05-26,2027-06-14,5,19,36,30,570,543,Web,2.6,0.09,0.2,58.26,114.0
Sprint_57,2027-06-15,2027-07-05,5,20,20,16,700,542,Web,2.7,0.06,0.06,48.9,140.0
Sprint_58,2027-07-06,2027-07-21,6,15,44,39,450,375,Dados,3.8,0.24,0.13,56.22,75.0
Sprint_59,2027-07-22,2027-08-04,5,13,39,27,455,446,API,2.4,0.16,0.15,65.07,91.0
Sprint_60,2027-08-05,2027-08-26,5,21,46,36,630,571,Mobile,4.1,0.21,0.19,55.89,126.0
Sprint_61,2027-08-27,2027-09-16,7,20,22,15,840,781,Dados,2.7,0.16,0.07,54.88,120.0
Sprint_62,2027-09-17,2027-09-27,5,10,32,28,450,419,API,3.4,0.23,0.15,56.94,90.0
Sprint_63,2027-09-28,2027-10-17,6,19,50,40,912,889,Dados,4.0,0.26,0.16,62.61,152.0
Sprint_64,2027-10-18,2027-11-03,7,16,44,36,784,665,Web,1.9,0.2,0.13,65.99,112.0
Sprint_65,2027-11-04,2027-11-20,3,16,27,23,480,401,Web,3.2,0.21,0.1,58.05,160.0
Sprint_66,2027-11-21,2027-12-04,3,13,47,46,390,377,Web,4.5,0.12,0.24,51.31,130.0
Sprint_67,2027-12-05,2027-12-24,6,19,44,39,570,490,Dados,1.9,0.21,0.07,37.77,95.0
Sprint_68,2027-12-25,2028-01-13,7,19,23,22,665,568,Dados,3.6,0.16,0.16,65.53,95.0
Sprint_69,2028-01-14,2028-02-03,7,20,26,20,980,957,Mobile,3.2,0.12,0.18,51.79,140.0
Sprint_70,2028-02-04,2028-02-23,3,19,47,39,342,240,API,2.1,0.06,0.19,57.67,114.0
Sprint_71,2028-02-24,2028-03-15,3,20,43,32,600,485,Dados,2.9,0.24,0.18,61.94,200.0
Sprint_72,2028-03-16,2028-04-04,5,19,35,24,665,535,Dados,4.2,0.18,0.1,58.19,133.0
Sprint_73,2028-04-05,2028-04-21,5,16,27,19,720,575,Dados,1.8,0.15,0.08,50.68,144.0
Sprint_74,2028-04-22,2028-05-13,7,21,37,34,1470,1039,API,3.3,0.26,0.14,55.14,210.0
Sprint_75,2028-05-14,2028-05-24,4,10,33,27,360,254,API,4.3,0.25,0.21,61.86,90.0
Sprint_76,2028-05-25,2028-06-09,4,15,40,34,360,258,Mobile,3.6,0.27,0.19,61.41,90.0
Sprint_77,2028-06-10,2028-06-21,5,11,33,25,495,419,Web,2.4,0.18,0.19,54.25,99.0
Sprint_78,2028-06-22,2028-07-12,4,20,23,21,560,472,Mobile,3.1,0.14,0.14,42.82,140.0
Sprint_79,2028-07-13,2028-07-28,5,15,44,38,750,657,Web,3.8,0.17,0.16,42.97,150.0
Sprint_80,2028-07-29,2028-08-09,5,11,41,40,440,375,Web,3.2,0.09,0.12,60.52,88.0
Sprint_81,2028-08-10,2028-08-26,4,16,43,31,320,260,Web,2.5,0.16,0.07,32.41,80.0
Sprint_82,2028-08-27,2028-09-15,5,19,29,28,760,551,Mobile,3.9,0.12,0.22,62.6,152.0
Sprint_83,2028-09-16,2028-10-06,6,20,31,22,1080,762,Dados,2.3,0.15,0.12,60.83,180.0
Sprint_84,2028-10-07,2028-10-21,3,14,20,15,252,177,API,3.2,0.25,0.1,39.49,84.0
Sprint_85,2028-10-22,2028-11-07,7,16,28,27,1120,819,Mobile,2.3,0.19,0.14,54.66,160.0
Sprint_86,2028-11-08,2028-11-21,7,13,46,39,455,407,Mobile,3.3,0.13,0.13,39.04,65.0
Sprint_87,2028-11-22,2028-12-03,4,11,41,33,220,204,Mobile,2.3,0.15,0.11,49.65,55.0
Sprint_88,2028-12-04,2028-12-14,6,10,41,30,360,313,Mobile,3.7,0.16,0.15,54.06,60.0
Sprint_89,2028-12-15,2029-01-02,5,18,48,39,810,628,API,3.1,0.15,0.14,62.14,162.0
Sprint_90,2029-01-03,2029-01-22,4,19,39,28,760,685,API,2.7,0.19,0.16,36.75,190.0
Sprint_91,2029-01-23,2029-02-06,3,14,47,39,378,345,Mobile,2.3,0.15,0.07,48.57,126.0
Sprint_92,2029-02-07,2029-02-18,7,11,23,18,693,610,Mobile,3.7,0.24,0.09,34.08,99.0
Sprint_93,2029-02-19,2029-03-05,5,14,47,35,420,352,API,3.3,0.24,0.08,51.4,84.0
Sprint_94,2029-03-06,2029-03-18,7,12,48,35,840,659,Mobile,1.8,0.06,0.18,45.87,120.0
Sprint_95,2029-03-19,2029-04-07,4,19,46,37,608,528,Web,2.7,0.07,0.16,51.63,152.0
Sprint_96,2029-04-08,2029-04-25,4,17,47,36,408,367,Dados,2.5,0.19,0.13,35.66,102.0
Sprint_97,2029-04-26,2029-05-12,3,16,35,28,288,259,API,3.9,0.16,0.09,66.39,96.0
Sprint_98,2029-05-13,2029-06-01,7,19,22,16,798,784,Mobile,3.9,0.1,0.15,46.06,114.0
Sprint_99,2029-06-02,2029-06-20,6,18,45,37,648,495,Web,4.4,0.27,0.2,55.79,108.0
Sprint_100,2029-06-21,2029-07-01,7,10,46,44,350,283,API,3.8,0.2,0.21,63.57,50.0
