Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Duration,Size,Time,Effort
87.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,29.0,292.0,3.0,11039.0
90.0,3.0,3.0,1.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,14.0,2954.0,6.0,18500.0
91.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,14.0,304.0,7.0,9369.0
89.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,28.0,353.0,5.0,7184.0
92.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,16.0,567.0,8.0,10447.0
91.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,13.0,467.0,7.0,5100.0
87.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,45.0,3368.0,3.0,63694.0
92.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,253.0,8.0,1651.0
91.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,10.0,196.0,7.0,1450.0
92.0,1.0,2.0,1.0,2.0,2.0,0.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,12.0,185.0,8.0,1745.0
88.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,387.0,4.0,1798.0
88.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,28.0,430.0,4.0,2957.0
89.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,6.0,204.0,5.0,963.0
88.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,6.0,71.0,4.0,1233.0
91.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,840.0,7.0,3240.0
90.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,11.0,1648.0,6.0,10000.0
91.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,8.0,1035.0,7.0,6800.0
85.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,22.0,548.0,1.0,3850.0
91.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,31.0,2054.0,7.0,14000.0
88.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,26.0,302.0,4.0,5787.0
93.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,22.0,1172.0,9.0,9700.0
91.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,7.0,253.0,7.0,1100.0
92.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,14.0,227.0,8.0,5578.0
92.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,59.0,8.0,1060.0
91.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,6.0,299.0,7.0,5279.0
89.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,15.0,422.0,5.0,8117.0
90.0,2.0,5.0,1.0,2.0,1.0,0.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,9.0,1058.0,6.0,8710.0
90.0,1.0,5.0,4.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,9.0,65.0,6.0,796.0
88.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,26.0,390.0,4.0,11023.0
90.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,13.0,193.0,6.0,1755.0
91.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,28.0,1526.0,7.0,5931.0
93.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,13.0,575.0,9.0,4456.0
87.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,13.0,509.0,3.0,3600.0
88.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,12.0,583.0,4.0,4557.0
88.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,14.0,315.0,4.0,8752.0
89.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,12.0,138.0,5.0,3440.0
88.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,257.0,4.0,1981.0
85.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,30.0,423.0,1.0,13700.0
91.0,5.0,5.0,1.0,2.0,1.0,0.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,20.0,495.0,7.0,7105.0
90.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,16.0,622.0,6.0,6816.0
92.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,12.0,204.0,8.0,4620.0
90.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,15.0,616.0,6.0,7451.0
91.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,33.0,3643.0,7.0,39479.0
