qtd_membros,duracao_dias,cartoes_previstos,story_points_previstos,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
7,14,37,0.0021674891047617313,1,1.9,0.14,0.16,31.06,-0.886002908214638
6,10,38,-0.18435003873416816,1,2.7,0.25,0.08,47.15,-0.7262620070671327
6,21,20,2.6134128788497804,2,1.7,0.08,0.08,32.3,2.468556015882973
5,14,28,-0.37863913023305346,1,4.4,0.26,0.19,46.29,-0.513274138870459
5,17,22,0.6899508730108157,2,2.9,0.19,0.17,38.56,0.9510174549816728
5,21,23,0.1653703259638254,0,4.2,0.11,0.16,44.41,0.23218339981789904
6,10,26,-0.41749694853283054,2,1.9,0.22,0.11,68.39,-0.9924968423129749
7,15,50,0.1653703259638254,1,2.2,0.22,0.08,56.96,-0.7262620070671327
7,13,31,1.253389238357583,3,3.7,0.22,0.08,34.71,0.3386773339162359
4,21,26,0.0021674891047617313,2,4.4,0.2,0.09,42.0,0.7912765538341675
6,15,21,0.1653703259638254,0,3.0,0.18,0.14,52.38,-0.3269097541983695
5,21,41,0.9813845102591436,3,4.4,0.17,0.12,69.72,1.350369707850436
6,12,22,0.2353143989034241,3,2.4,0.07,0.14,36.3,-0.24703930362461685
4,14,32,-0.32423818461336557,2,2.0,0.17,0.08,61.31,0.23218339981789904
3,20,32,-0.18435003873416816,3,1.9,0.1,0.11,61.22,1.6698515101454467
4,14,41,-0.7594457495708686,1,4.5,0.16,0.22,67.77,-0.513274138870459
6,17,45,-0.30092349363349935,1,3.0,0.24,0.19,52.23,-0.8593794246900538
4,18,24,-0.6040144763717604,1,1.8,0.22,0.15,59.14,-0.24703930362461685
3,17,28,-0.6972732402912254,3,2.0,0.21,0.07,62.7,0.49841823506374117
7,18,26,2.123804368272589,2,4.1,0.23,0.22,45.05,1.1906288067029307
5,18,50,1.214531420057806,0,2.3,0.16,0.06,37.94,1.6698515101454467
3,14,37,-1.1402523689086839,0,1.7,0.11,0.12,68.29,-0.513274138870459
4,17,33,-0.6972732402912254,3,2.8,0.09,0.1,48.89,-0.4067802047721221
7,18,49,0.1653703259638254,1,3.7,0.08,0.13,64.51,-0.7262620070671327
3,16,45,-0.7905320042106903,2,3.0,0.14,0.19,58.6,0.28543036686706746
3,12,25,-1.0236789140093527,0,3.9,0.1,0.21,62.55,-0.24703930362461685
7,19,29,1.3349906567871148,3,2.6,0.25,0.2,42.97,0.41854778448998853
7,21,26,1.71579727612493,0,1.7,0.14,0.14,64.88,0.7912765538341675
5,20,30,1.214531420057806,2,4.2,0.11,0.22,36.9,1.6698515101454467
5,12,24,-0.8837907681301552,2,2.2,0.17,0.15,38.22,-1.2054847105096487
5,15,29,-0.5340704034321617,0,3.6,0.15,0.14,49.91,-0.7262620070671327
4,18,38,-0.6040144763717604,2,2.7,0.25,0.15,57.79,-0.24703930362461685
6,13,44,0.7482376004604813,0,2.2,0.14,0.06,67.9,0.3386773339162359
5,11,28,-0.3592102210831649,2,1.9,0.11,0.12,41.72,-0.48665065534587476
7,13,47,-0.16103534775430192,3,2.1,0.15,0.18,61.12,-1.0457438093621432
5,17,36,0.3596594174627107,0,3.3,0.1,0.08,54.65,0.49841823506374117
3,14,39,-0.8138466951905565,3,1.8,0.13,0.16,36.57,0.23218339981789904
3,15,43,-1.058650950479152,0,2.5,0.18,0.17,38.79,-0.3269097541983695
6,13,49,-0.16103534775430192,1,3.7,0.27,0.13,34.3,-0.6996385235425485
7,20,21,2.6134128788497804,1,3.6,0.12,0.18,30.75,1.6698515101454467
7,13,47,-0.5146414942822731,2,3.1,0.1,0.1,47.27,-1.3918490951817382
5,16,33,0.8259532370600354,0,1.9,0.14,0.12,41.12,1.1373818396537623
6,18,39,1.494307711816201,1,3.5,0.22,0.18,32.54,1.1906288067029307
4,14,22,-0.7594457495708686,3,3.0,0.13,0.14,45.29,-0.513274138870459
5,10,32,-1.3112267694277029,2,3.7,0.24,0.15,51.98,-1.7912013480505014
7,18,26,0.6549788365410163,0,2.6,0.16,0.11,33.41,-0.24703930362461685
4,20,23,0.8259532370600354,3,4.0,0.13,0.17,66.73,2.202321180637131
7,18,48,0.1653703259638254,0,3.6,0.11,0.11,42.13,-0.7262620070671327
7,18,20,1.1445873471182073,1,4.1,0.25,0.13,46.1,0.23218339981789904
7,12,22,-0.32423818461336557,1,1.7,0.07,0.18,58.51,-1.2054847105096487
3,15,33,-0.8837907681301552,2,3.4,0.22,0.08,49.25,0.07244249867039375
6,10,24,-0.8837907681301552,3,3.0,0.25,0.08,38.67,-1.5249665128046592
5,14,23,-0.37863913023305346,3,2.8,0.25,0.16,38.72,-0.513274138870459
7,16,34,1.6341958576953983,3,3.0,0.19,0.09,40.51,0.7114061032604149
7,12,32,-0.6506438583314929,1,3.5,0.08,0.14,67.67,-1.5249665128046592
3,18,38,-0.8138466951905565,1,2.0,0.23,0.12,46.49,0.23218339981789904
5,14,23,-0.9226485864299323,0,3.2,0.09,0.09,62.88,-1.258731677558817
3,19,39,-0.9537348410697539,3,2.4,0.17,0.19,55.04,-0.08729840247711154
6,19,29,-0.06777658383483698,1,1.8,0.12,0.15,69.74,-0.5931445894442117
5,18,46,0.5150906906618189,1,3.2,0.15,0.17,62.42,0.7114061032604149
6,18,31,1.0746432741786085,3,1.6,0.21,0.08,65.44,0.7114061032604149
3,16,43,-0.9770495320496202,0,3.9,0.21,0.2,63.2,-0.14054536952627997
6,13,26,0.4451466177222202,0,3.1,0.19,0.13,54.87,-0.007427951903358899
3,20,22,-0.18435003873416816,3,4.0,0.27,0.13,40.37,1.6698515101454467
3,20,33,-0.18435003873416816,0,2.6,0.19,0.18,69.88,1.6698515101454467
4,16,46,-1.0392220413292634,2,3.6,0.13,0.2,61.49,-0.9924968423129749
6,12,44,-0.32423818461336557,0,3.5,0.12,0.21,69.11,-0.886002908214638
3,10,31,-1.5832314975261423,2,4.0,0.16,0.14,49.65,-1.5249665128046592
4,11,49,-1.085851423288996,2,3.4,0.11,0.11,52.46,-1.0723672928867274
3,16,43,-0.6040144763717604,0,4.1,0.1,0.22,32.45,0.7114061032604149
7,18,49,0.1653703259638254,2,4.0,0.25,0.21,31.88,-0.7262620070671327
5,15,38,0.6316641455611501,2,3.2,0.25,0.18,67.65,0.8711470044079201
3,16,44,-0.9770495320496202,1,3.6,0.26,0.09,45.38,-0.14054536952627997
3,15,32,-0.5340704034321617,0,3.7,0.24,0.16,38.51,0.8711470044079201
7,16,25,-0.10663440213461403,3,3.2,0.07,0.14,59.85,-0.9924968423129749
7,20,36,2.6134128788497804,3,3.6,0.23,0.15,48.08,1.6698515101454467
4,17,23,-0.43304007585274135,1,2.5,0.25,0.14,68.01,0.04581901514580953
6,19,25,1.704139930634997,3,3.6,0.13,0.08,63.17,1.4302401584241886
6,17,48,0.4917759996819527,3,2.3,0.1,0.17,38.19,0.04581901514580953
6,13,32,-0.16103534775430192,2,4.3,0.28,0.21,53.7,-0.6996385235425485
5,15,21,-0.5340704034321617,3,2.6,0.08,0.1,69.2,-0.7262620070671327
5,16,46,0.8259532370600354,2,3.3,0.15,0.16,35.35,1.1373818396537623
7,12,21,0.6549788365410163,3,4.4,0.27,0.22,60.69,-0.24703930362461685
5,10,21,-0.9226485864299323,2,3.5,0.11,0.14,41.77,-1.258731677558817
7,20,45,0.4373750540622648,1,3.1,0.09,0.18,48.79,-0.46002717182129055
4,18,47,0.5150906906618189,2,3.8,0.12,0.12,32.26,1.6698515101454467
3,10,23,-1.3500845877274799,0,2.0,0.12,0.09,34.22,-0.9924968423129749
6,19,40,1.704139930634997,2,1.6,0.18,0.16,68.44,1.4302401584241886
5,16,38,-0.728359494931047,3,1.7,0.23,0.14,45.53,-0.9924968423129749
4,19,28,-0.5107557124522955,1,3.9,0.22,0.18,41.62,-0.08729840247711154
5,14,49,0.4373750540622648,2,3.5,0.08,0.19,46.12,0.604912169162078
5,16,47,0.5150906906618189,1,3.0,0.16,0.13,32.06,0.7114061032604149
4,11,34,-0.5729282217319388,3,4.2,0.27,0.15,49.73,-0.1937923365754484
5,15,49,-0.24263676618383376,3,1.7,0.09,0.16,41.84,-0.3269097541983695
4,21,43,0.9813845102591436,0,3.1,0.15,0.15,34.35,2.468556015882973
7,21,45,1.71579727612493,2,3.2,0.16,0.08,50.39,0.7912765538341675
4,13,46,-0.8682476408102444,2,4.4,0.12,0.16,61.43,-0.6996385235425485
5,13,39,0.2430859625633795,0,3.0,0.25,0.19,34.9,0.3386773339162359
7,21,32,2.287007205131653,3,3.0,0.08,0.12,32.16,1.350369707850436
6,19,42,2.1471190592524554,3,2.9,0.23,0.18,64.01,1.9360863453912889
5,11,22,-1.2140822236782602,1,4.4,0.16,0.18,45.33,-1.6580839304275803
6,19,31,2.1471190592524554,0,3.7,0.15,0.2,68.62,1.9360863453912889
6,19,39,-0.06777658383483698,1,2.1,0.17,0.13,48.82,-0.5931445894442117
4,21,47,-0.6506438583314929,0,4.1,0.13,0.11,43.51,-0.3269097541983695
6,13,38,-0.16103534775430192,3,2.5,0.12,0.08,34.71,-0.6996385235425485
5,21,43,0.9813845102591436,2,2.4,0.22,0.13,37.15,1.350369707850436
6,12,26,-0.04446189285497074,1,3.9,0.14,0.16,48.17,-0.5665211059196275
7,20,32,3.157422335046659,0,4.4,0.09,0.15,42.85,2.202321180637131
6,15,30,0.1653703259638254,1,3.9,0.18,0.18,62.19,-0.3269097541983695
7,13,21,-0.16103534775430192,0,2.7,0.19,0.17,56.68,-1.0457438093621432
3,10,47,-1.1169376779288176,3,2.3,0.16,0.07,60.02,-0.46002717182129055
5,11,38,-1.2140822236782602,1,1.7,0.05,0.11,42.61,-1.6580839304275803
3,15,30,-0.7089305857811584,2,1.7,0.04,0.12,50.64,0.47179475153915695
7,11,31,0.41017458125242084,3,2.8,0.21,0.14,46.75,-0.48665065534587476
4,16,45,0.20422814426360245,0,3.0,0.24,0.09,34.3,1.1373818396537623
6,17,50,0.8881257463396787,2,3.4,0.17,0.1,60.48,0.49841823506374117
5,17,28,0.029367961914605674,0,4.1,0.17,0.16,32.62,0.04581901514580953
5,17,41,0.6899508730108157,3,3.3,0.19,0.13,62.52,0.9510174549816728
7,10,47,-0.9226485864299323,0,3.8,0.25,0.13,68.55,-1.7912013480505014
7,16,50,0.328573162822889,3,1.8,0.12,0.11,41.45,-0.5665211059196275
6,12,29,0.2353143989034241,1,4.0,0.26,0.16,34.96,-0.24703930362461685
3,12,39,-1.3034552057677475,1,3.6,0.16,0.2,55.42,-0.886002908214638
7,13,22,0.8997830918296118,0,2.9,0.23,0.12,69.49,-0.007427951903358899
4,15,39,-0.8837907681301552,2,2.0,0.15,0.06,57.19,-0.7262620070671327
5,15,31,0.6316641455611501,0,1.9,0.14,0.08,52.36,0.8711470044079201
3,19,39,-0.06777658383483698,1,2.5,0.05,0.08,63.02,1.9360863453912889
5,11,22,-0.7866462223807126,1,3.4,0.14,0.14,39.84,-1.0723672928867274
4,14,34,-0.5418419670921171,1,3.4,0.18,0.17,45.74,-0.14054536952627997
3,14,30,-0.8138466951905565,3,2.8,0.23,0.19,36.36,0.23218339981789904
7,15,24,-0.24263676618383376,2,3.5,0.21,0.16,47.85,-1.125614259935896
7,17,43,0.4917759996819527,1,3.2,0.16,0.15,49.54,-0.4067802047721221
6,12,50,0.2353143989034241,2,2.2,0.15,0.05,46.68,-0.24703930362461685
4,18,39,-0.32423818461336557,2,4.5,0.19,0.14,37.1,0.23218339981789904
3,14,35,-0.6506438583314929,3,4.5,0.16,0.12,62.37,0.604912169162078
5,17,28,0.3596594174627107,0,2.3,0.05,0.06,67.2,0.49841823506374117
4,10,42,-1.1946533145283718,1,2.7,0.13,0.07,67.21,-1.258731677558817
6,12,47,-0.32423818461336557,0,2.3,0.16,0.12,30.84,-0.886002908214638
7,12,46,0.328573162822889,0,3.5,0.18,0.07,57.86,-0.5665211059196275
6,16,36,0.7016082185007488,1,1.6,0.17,0.14,37.17,0.28543036686706746
7,18,36,0.1653703259638254,3,2.0,0.17,0.08,61.58,-0.7262620070671327
5,16,37,0.20422814426360245,3,2.5,0.16,0.11,38.61,0.28543036686706746
6,16,28,-0.04446189285497074,3,2.6,0.05,0.07,52.86,-0.5665211059196275
6,12,41,-0.32423818461336557,2,3.4,0.07,0.13,31.46,-0.886002908214638
6,18,23,-0.18435003873416816,0,3.8,0.11,0.21,58.96,-0.7262620070671327
6,10,25,-0.18435003873416816,1,2.4,0.24,0.1,68.72,-0.7262620070671327
4,18,41,-0.32423818461336557,2,3.1,0.2,0.21,45.37,0.23218339981789904
5,10,30,-0.5340704034321617,1,3.3,0.25,0.16,62.31,-0.7262620070671327
6,19,24,0.81818167340008,3,3.0,0.07,0.2,42.39,0.41854778448998853
6,20,43,2.3802659690511176,1,2.4,0.19,0.09,43.64,2.202321180637131
7,13,47,0.5461769453016405,1,4.2,0.19,0.09,47.48,-0.3535332377229537
3,21,49,-1.058650950479152,3,2.8,0.19,0.07,37.91,-0.3269097541983695
7,17,28,0.4917759996819527,2,3.3,0.18,0.19,40.35,-0.4067802047721221
6,21,46,2.123804368272589,2,2.8,0.14,0.17,65.55,1.9094628618667047
7,20,42,2.6134128788497804,2,2.0,0.18,0.05,69.48,1.6698515101454467
5,18,44,-0.18435003873416816,2,4.2,0.23,0.18,65.41,-0.24703930362461685
6,17,50,0.8881257463396787,2,3.3,0.13,0.11,66.53,0.49841823506374117
7,16,27,0.328573162822889,2,3.0,0.21,0.19,54.67,-0.5665211059196275
6,18,24,1.9139721494537931,2,1.9,0.06,0.05,36.21,1.6698515101454467
6,13,47,0.4451466177222202,1,3.9,0.14,0.09,50.78,-0.007427951903358899
3,11,40,-1.6415182249758078,0,2.8,0.16,0.15,40.45,-1.6580839304275803
5,21,30,0.5733774181114845,1,2.1,0.23,0.14,57.2,0.7912765538341675
3,15,39,-1.2335111328281487,2,2.7,0.22,0.07,34.34,-0.7262620070671327
7,19,20,2.3686086235611845,1,2.9,0.21,0.15,65.27,1.4302401584241886
6,20,40,2.3802659690511176,1,1.9,0.22,0.05,69.65,2.202321180637131
4,17,33,-0.6972732402912254,2,4.4,0.16,0.14,48.91,-0.4067802047721221
5,12,36,0.0487968710644942,2,2.0,0.23,0.11,52.23,0.07244249867039375
6,15,44,1.214531420057806,0,2.0,0.22,0.06,38.37,0.8711470044079201
5,20,28,0.0487968710644942,1,2.5,0.23,0.06,63.31,0.07244249867039375
4,16,27,-0.5418419670921171,1,3.2,0.09,0.14,37.31,-0.14054536952627997
5,15,24,0.34023050831282214,1,3.5,0.26,0.09,36.84,0.47179475153915695
5,15,31,-0.8255040406804897,1,1.8,0.18,0.11,43.91,-1.125614259935896
7,13,23,-0.16103534775430192,0,2.3,0.18,0.08,56.15,-1.0457438093621432
5,12,20,-0.8837907681301552,0,2.3,0.19,0.05,62.0,-1.2054847105096487
3,14,42,-0.9770495320496202,0,2.4,0.18,0.1,51.55,-0.14054536952627997
7,11,24,0.1109693803441375,1,2.0,0.07,0.08,53.22,-0.7795089741163012
3,18,22,-1.0236789140093527,3,4.1,0.12,0.09,56.61,-0.24703930362461685
4,16,50,-0.04446189285497074,3,2.8,0.16,0.1,50.73,0.7114061032604149
4,12,27,-0.7905320042106903,3,2.4,0.22,0.05,47.83,-0.5665211059196275
7,15,45,0.9813845102591436,1,1.6,0.04,0.04,31.1,0.07244249867039375
6,20,37,1.9139721494537931,1,3.7,0.14,0.14,57.66,1.6698515101454467
4,12,45,-0.6040144763717604,0,2.4,0.16,0.11,35.49,-0.24703930362461685
3,19,36,-0.7322452767610247,3,2.8,0.2,0.14,66.91,0.41854778448998853
3,20,38,-0.6506438583314929,1,3.4,0.08,0.12,68.82,0.604912169162078
5,16,29,0.5150906906618189,3,4.4,0.23,0.2,33.74,0.7114061032604149
5,13,44,-0.009489856385171387,2,3.7,0.11,0.15,40.94,-0.007427951903358899
5,19,47,-0.06777658383483698,2,3.3,0.09,0.19,36.48,-0.08729840247711154
5,10,32,-0.5340704034321617,0,3.9,0.1,0.15,37.66,-0.7262620070671327
4,20,39,-0.41749694853283054,0,2.8,0.23,0.11,68.37,0.07244249867039375
4,15,49,-0.41749694853283054,2,1.5,0.15,0.04,68.45,0.07244249867039375
5,11,47,-1.0003642230294865,2,2.0,0.09,0.19,59.9,-1.365225611657154
6,11,41,-0.48744102147242924,2,3.3,0.18,0.12,34.3,-1.0723672928867274
4,15,29,-0.41749694853283054,0,4.3,0.11,0.14,37.11,0.07244249867039375
6,13,31,0.7482376004604813,3,3.8,0.22,0.14,56.75,0.3386773339162359
6,10,43,-1.1169376779288176,2,3.9,0.14,0.13,54.78,-1.7912013480505014
7,15,33,0.1653703259638254,2,1.6,0.07,0.12,61.66,-0.7262620070671327
5,18,25,-0.18435003873416816,0,2.4,0.16,0.13,67.06,-0.24703930362461685
5,19,38,-0.436925857682719,3,3.3,0.14,0.1,34.17,-0.5931445894442117
6,18,45,0.6549788365410163,2,1.9,0.08,0.13,54.53,0.23218339981789904
3,20,45,0.0487968710644942,3,2.8,0.09,0.12,54.08,2.202321180637131
5,18,23,-0.18435003873416816,1,3.0,0.13,0.13,68.51,-0.24703930362461685
7,15,41,0.1653703259638254,1,2.8,0.09,0.17,68.04,-0.7262620070671327
5,17,43,0.3596594174627107,3,2.7,0.09,0.18,35.93,0.49841823506374117
5,20,37,0.4373750540622648,3,2.3,0.18,0.11,39.43,0.604912169162078
6,11,34,-0.48744102147242924,1,3.3,0.16,0.13,31.57,-1.0723672928867274
6,20,47,0.9813845102591436,2,3.7,0.19,0.17,57.63,0.604912169162078
6,14,28,0.9813845102591436,1,4.1,0.24,0.2,67.54,0.604912169162078
4,13,20,-0.8682476408102444,0,2.0,0.24,0.12,53.47,-0.6996385235425485
6,18,21,0.2353143989034241,2,3.1,0.13,0.14,42.09,-0.24703930362461685
4,12,21,-0.41749694853283054,1,1.6,0.12,0.12,42.16,0.07244249867039375
4,14,39,-0.10663440213461403,3,4.0,0.2,0.16,48.22,0.604912169162078
4,16,40,0.20422814426360245,0,2.1,0.14,0.12,58.53,1.1373818396537623
4,18,47,-0.8837907681301552,2,4.4,0.12,0.22,44.53,-0.7262620070671327
4,14,42,-0.10663440213461403,1,3.5,0.24,0.22,42.68,0.604912169162078
3,10,24,-1.6998049524254735,1,1.6,0.21,0.15,34.79,-1.7912013480505014
4,13,29,-1.272368951127926,2,3.4,0.25,0.14,32.91,-1.3918490951817382
4,18,27,0.2353143989034241,2,3.3,0.14,0.12,56.05,1.1906288067029307
6,11,40,-1.0003642230294865,0,1.5,0.07,0.17,54.36,-1.6580839304275803
6,11,44,-0.7439026222509578,2,3.1,0.21,0.17,34.65,-1.365225611657154
5,18,40,0.5150906906618189,1,4.0,0.23,0.12,50.24,0.7114061032604149
5,10,31,-0.728359494931047,0,3.3,0.17,0.21,53.58,-0.9924968423129749
5,11,39,-0.5729282217319388,1,2.0,0.23,0.04,53.2,-0.7795089741163012
6,20,50,0.0487968710644942,0,4.5,0.11,0.23,48.05,-0.46002717182129055
4,18,47,-0.6040144763717604,0,3.7,0.11,0.2,58.27,-0.24703930362461685
4,12,50,-1.3500845877274799,3,4.3,0.27,0.13,57.64,-1.5249665128046592
4,19,25,-0.2154362933739898,1,3.6,0.12,0.12,65.5,0.41854778448998853
3,13,37,-0.7672173132308241,2,2.0,0.21,0.15,39.52,0.3386773339162359
6,20,44,0.9813845102591436,1,4.5,0.11,0.17,48.62,0.604912169162078
4,10,34,-1.1946533145283718,3,1.8,0.06,0.14,64.8,-1.258731677558817
5,10,32,-1.3112267694277029,3,3.8,0.12,0.08,61.81,-1.7912013480505014
6,12,41,0.2353143989034241,0,2.2,0.14,0.08,57.33,-0.24703930362461685
7,11,50,0.1109693803441375,2,4.1,0.1,0.1,35.02,-0.7795089741163012
5,18,22,-0.5340704034321617,2,2.4,0.15,0.11,42.43,-0.7262620070671327
6,10,39,-0.18435003873416816,0,2.6,0.25,0.17,55.96,-0.7262620070671327
4,11,25,-1.085851423288996,3,4.2,0.26,0.13,62.63,-1.0723672928867274
3,16,50,-1.1635670598885501,1,3.2,0.09,0.21,45.08,-0.5665211059196275
3,13,44,-0.9187628045999546,2,2.7,0.11,0.16,30.26,-0.007427951903358899
4,17,36,-0.43304007585274135,2,2.6,0.21,0.1,49.38,0.04581901514580953
6,15,35,-0.5340704034321617,0,3.0,0.14,0.14,36.78,-1.125614259935896
5,16,40,-0.41749694853283054,0,3.7,0.23,0.12,39.31,-0.5665211059196275
7,20,35,2.0694034226529014,0,2.9,0.09,0.18,45.19,1.1373818396537623
7,20,47,3.157422335046659,2,3.4,0.08,0.18,30.04,2.202321180637131
5,20,37,-0.3397813119332764,1,2.5,0.12,0.12,54.09,-0.46002717182129055
6,13,31,0.14205563498395915,1,2.6,0.17,0.06,46.64,-0.3535332377229537
5,14,41,0.1653703259638254,0,2.0,0.21,0.14,61.94,0.23218339981789904
5,19,47,-0.06777658383483698,2,3.9,0.25,0.08,64.76,-0.08729840247711154
7,19,21,2.8854176069482196,1,3.4,0.26,0.14,69.07,1.9360863453912889
6,20,48,1.9139721494537931,0,2.0,0.05,0.08,42.09,1.6698515101454467
4,17,31,0.09542625302422668,3,2.9,0.06,0.2,57.97,0.9510174549816728
4,20,23,-0.728359494931047,2,2.9,0.16,0.07,62.05,-0.46002717182129055
4,12,46,-1.3500845877274799,0,1.6,0.14,0.15,61.34,-1.5249665128046592
5,10,28,-1.3112267694277029,1,3.6,0.15,0.19,33.07,-1.7912013480505014
6,18,36,1.494307711816201,2,2.9,0.23,0.13,63.98,1.1906288067029307
6,18,34,0.6549788365410163,0,2.2,0.2,0.06,54.21,0.23218339981789904
7,19,35,1.8517996401741497,0,3.6,0.15,0.14,40.94,0.9243939714570886
3,17,39,-1.2917978602778144,3,3.1,0.21,0.17,60.74,-0.8593794246900538
4,15,36,-0.41749694853283054,1,2.0,0.09,0.04,61.12,0.07244249867039375
6,12,32,0.5150906906618189,2,3.3,0.2,0.18,48.91,0.07244249867039375
3,21,38,-0.569042439901961,0,2.7,0.2,0.17,49.22,0.7912765538341675
3,16,43,-0.9770495320496202,2,4.1,0.15,0.09,41.72,-0.14054536952627997
5,16,33,-0.10663440213461403,3,3.0,0.07,0.18,43.04,-0.14054536952627997
7,16,48,0.7637807277803921,0,3.2,0.2,0.14,32.39,-0.14054536952627997
3,14,32,-1.3034552057677475,1,3.1,0.07,0.07,67.19,-0.886002908214638
3,11,22,-1.3850566241972793,0,2.6,0.2,0.12,42.65,-1.0723672928867274
6,14,27,0.328573162822889,1,1.8,0.12,0.08,50.46,-0.14054536952627997
4,12,30,-0.9770495320496202,2,2.5,0.23,0.16,40.85,-0.886002908214638
5,21,39,1.3893916024068027,1,3.1,0.1,0.08,54.24,1.9094628618667047
6,11,21,-0.7439026222509578,1,2.8,0.08,0.15,31.01,-1.365225611657154
5,20,47,0.0487968710644942,0,2.7,0.16,0.13,56.13,0.07244249867039375
5,15,31,-0.5340704034321617,2,3.5,0.1,0.09,48.92,-0.7262620070671327
5,10,31,-0.9226485864299323,2,1.6,0.18,0.06,68.31,-1.258731677558817
4,12,23,-1.3500845877274799,3,3.3,0.25,0.12,45.65,-1.5249665128046592
4,21,28,0.6549788365410163,1,2.1,0.16,0.18,36.08,1.9094628618667047
6,10,24,-0.18435003873416816,3,1.9,0.07,0.18,55.21,-0.7262620070671327
5,14,21,-0.9226485864299323,2,3.0,0.15,0.15,39.05,-1.258731677558817
3,13,44,-1.2218537873382156,1,3.7,0.14,0.09,65.74,-0.6996385235425485
3,18,47,-0.8138466951905565,3,3.1,0.1,0.17,66.08,0.23218339981789904
4,17,38,0.09542625302422668,3,3.4,0.19,0.16,51.38,0.9510174549816728
7,12,39,0.0021674891047617313,3,3.8,0.23,0.17,31.45,-0.886002908214638
4,20,30,-0.41749694853283054,1,4.2,0.22,0.23,32.69,0.07244249867039375
4,20,48,0.8259532370600354,1,4.2,0.22,0.22,33.18,2.202321180637131
4,10,35,-1.0392220413292634,3,3.4,0.21,0.18,44.58,-0.9924968423129749
5,18,21,0.1653703259638254,1,4.1,0.27,0.23,65.74,0.23218339981789904
